nr_partition_year|nr_partition_month|nr_partition_day|dt_ref|seller_id|seller_receita_ciclo|seller_qt_pedidos_ciclo|seller_ticket_medio_ciclo|seller_qt_item_ciclo|seller_qt_item_dist_ciclo|seller_recencia_ciclo|seller_tempo_medio_entrega|seller_qt_ativacao_ciclo|seller_qt_dias_ativacao_ciclo|seller_qt_venda_AC|seller_qt_venda_AL|seller_qt_venda_AM|seller_qt_venda_AP|seller_qt_venda_BA|seller_qt_venda_CE|seller_qt_venda_DF|seller_qt_venda_ES|seller_qt_venda_GO|seller_qt_venda_MA|seller_qt_venda_MG|seller_qt_venda_MS|seller_qt_venda_MT|seller_qt_venda_PA|seller_qt_venda_PB|seller_qt_venda_PE|seller_qt_venda_PI|seller_qt_venda_PR|seller_qt_venda_RJ|seller_qt_venda_RN|seller_qt_venda_RO|seller_qt_venda_RR|seller_qt_venda_RS|seller_qt_venda_SC|seller_qt_venda_SE|seller_qt_venda_SP|seller_qt_venda_TO|seller_vl_agro_industria_e_comercio_ciclo|seller_vl_alimentos_bebidas_ciclo|seller_vl_artes_ciclo|seller_vl_artigos_de_festas_ciclo|seller_vl_audio_ciclo|seller_vl_automotivo_ciclo|seller_vl_bebes_ciclo|seller_vl_beleza_saude_ciclo|seller_vl_brinquedos_ciclo|seller_vl_cama_mesa_banho_ciclo|seller_vl_casa_ciclo|seller_vl_cds_dvds_musicais_ciclo|seller_vl_cine_foto_ciclo|seller_vl_climatizacao_ciclo|seller_vl_construcao_ciclo|seller_vl_cool_stuff_ciclo|seller_vl_eletrodomesticos_ciclo|seller_vl_eletronicos_ciclo|seller_vl_eletroportateis_ciclo|seller_vl_esporte_lazer_ciclo|seller_vl_fashion_ciclo|seller_vl_ferramentas_jardim_ciclo|seller_vl_flores_ciclo|seller_vl_industria_comercio_e_negocios_ciclo|seller_vl_instrumentos_musicais_ciclo|seller_vl_la_cuisine_ciclo|seller_vl_livros_ciclo|seller_vl_malas_acessorios_ciclo|seller_vl_market_place_ciclo|seller_vl_moveis_ciclo|seller_vl_musica_ciclo|seller_vl_papelaria_ciclo|seller_vl_informatica_ciclo|seller_vl_perfumaria_ciclo|seller_vl_pet_shop_ciclo|seller_vl_portateis_ciclo|seller_vl_relogios_presentes_ciclo|seller_vl_seguros_e_servicos_ciclo|seller_vl_sinalizacao_e_seguranca_ciclo|seller_vl_telefonia_ciclo|seller_vl_utilidades_domesticas_ciclo|seller_valor_pgmt_boleto_ciclo|seller_valor_pgmt_credit_card_ciclo|seller_valor_pgmt_debit_card_ciclo|seller_valor_pgmt_not_defined_ciclo|seller_valor_pgmt_voucher_ciclo|seller_tx_ativacao_ciclo|seller_receita_vida|seller_idade_base|seller_qt_pedidos_vida|seller_qt_item_dist_vida
2018|01|01|2018-01-01|0015a82c2db000af6aaaf3ae2ecb0532|1790.0|2|895.0|2|1|74.0|10.49|1|2|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1790.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|1790.0|0.0|0.0|0.0|0.022|2685.0|95.07|3|1
2018|01|01|2018-01-01|001cca7ae9ae17fb1caed9dfb1094831|6595.0|54|122.13|64|7|2.91|14.74|3|24|0|0|0|0|7|0|0|4|0|0|7|0|0|0|0|1|0|2|10|0|1|0|5|4|0|21|2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|613.0|0.0|0.0|0.0|0.0|0.0|0.0|5982.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|937.0|5361.0|99.0|0.0|198.0|0.261|21275.23|330.2|171|9
2018|01|01|2018-01-01|002100f778ceb8431b7a1020ff7ab48f|796.8|36|22.13|42|15|2.91|15.39|3|21|0|0|0|0|1|0|0|1|1|0|8|0|0|1|0|0|0|2|1|1|0|0|4|2|0|20|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|796.7999999999994|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|309.3|424.9|0.0|0.0|62.6|0.228|781.8|108.95|38|15
2018|01|01|2018-01-01|003554e2dce176b5555353e4f3555ac8|120.0|1|120.0|1|1|16.7|4.63|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|120.0|0.0|0.0|0.0|0.06|120.0|16.7|1|1
2018|01|01|2018-01-01|004c9cd9d87a3c30c522c48c4fc07416|4289.96|37|115.94|38|25|8.09|16.24|3|23|0|0|0|0|1|0|0|1|4|0|3|1|1|1|0|1|0|1|5|0|0|0|3|0|0|16|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3822.869999999998|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|719.94|3315.12|0.0|0.0|254.9|0.25|16228.88|337.89|130|75
2018|01|01|2018-01-01|00ee68308b45bc5e2660cd833c3f81cc|4995.0|38|131.45|52|12|2.16|6.71|3|19|0|0|0|0|0|0|1|1|1|0|3|0|0|0|0|0|0|2|6|0|0|0|4|2|0|32|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4400.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|595.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|340.0|4315.0|0.0|0.0|340.0|0.207|4641.0|103.95|40|12
2018|01|01|2018-01-01|013900e863eace745d3ec7614cab5b1a|460.7|7|65.81|8|7|9.38|14.99|2|6|0|0|0|0|0|0|0|1|0|0|3|0|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0.0|0.0|0.0|0.0|0.0|0.0|55.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|404.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|460.7|0.0|0.0|0.0|0.065|768.7|302.57|10|10
2018|01|01|2018-01-01|014c0679dd340a0e338872e7ec85666a|575.0|2|287.5|2|2|17.37|22.11|2|2|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|575.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|575.0|0.0|0.0|0.0|0.022|2572.0|339.98|7|4
2018|01|01|2018-01-01|014d9a685fd57276679edd00e07089e5|69.99|1|69.99|1|1|38.88|4.45|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|69.99|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|69.99|0.0|0.0|0.0|0.0|0.026|69.99|38.88|1|1
2018|01|01|2018-01-01|0176f73cc1195f367f7b32db1e5b3aa8|559.7|3|186.57|3|2|30.56|14.79|2|3|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|559.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|559.7|0.0|0.0|0.0|0.066|559.7|45.26|3|2
